NAMESPACE            NAME                                               READY   STATUS                   RESTARTS        AGE
sage                 pod/arc-registry-refresh-29335865-l6pfs            0/1     Error                    0               71m
sage                 pod/arc-registry-refresh-29335865-sghkp            0/1     Pending                  0               58m
sage                 pod/arc-registry-refresh-29335866-7sclv            0/1     Error                    0               71m
sage                 pod/arc-registry-refresh-29335866-jp6b8            0/1     Pending                  0               58m
sage                 pod/arc-registry-refresh-29335867-79hd6            0/1     Error                    0               71m
sage                 pod/arc-registry-refresh-29335867-g7q2j            0/1     Pending                  0               58m
sage                 pod/arc-registry-refresh-29335868-2226f            0/1     Error                    0               71m
sage                 pod/arc-registry-refresh-29335868-8kdmb            0/1     ContainerCreating        0               43m
sage                 pod/arc-registry-refresh-29335868-kz9rt            0/1     Error                    0               58m
sage                 pod/arc-registry-refresh-29335869-2qcq9            0/1     Error                    0               71m
sage                 pod/arc-registry-refresh-29335869-gpsj2            0/1     Error                    0               58m
sage                 pod/arc-registry-refresh-29335869-k2xs5            0/1     ContainerCreating        0               43m
sage                 pod/arc-registry-refresh-29335870-8vtn8            0/1     Error                    0               58m
sage                 pod/arc-registry-refresh-29335870-d4zj4            0/1     Error                    0               71m
sage                 pod/arc-registry-refresh-29335870-qwbf8            0/1     ContainerCreating        0               44m
sage                 pod/arc-registry-refresh-29335871-5ptqp            0/1     Error                    0               70m
sage                 pod/arc-registry-refresh-29335871-9gmwn            0/1     ContainerCreating        0               43m
sage                 pod/arc-registry-refresh-29335871-z4z2f            0/1     Error                    0               58m
sage                 pod/arc-registry-refresh-29335872-d74pd            0/1     Error                    0               58m
sage                 pod/arc-registry-refresh-29335872-n7tw9            0/1     Error                    0               71m
sage                 pod/arc-registry-refresh-29335872-pvnkq            0/1     ContainerCreating        0               44m
sage                 pod/arc-registry-refresh-29335873-8dd7v            0/1     Error                    0               71m
sage                 pod/arc-registry-refresh-29335873-j8cjm            0/1     ContainerCreating        0               44m
sage                 pod/arc-registry-refresh-29335873-lql7b            0/1     Error                    0               58m
sage                 pod/arc-registry-refresh-29335874-5vgpt            0/1     Error                    0               71m
sage                 pod/arc-registry-refresh-29335874-bfzcj            0/1     ContainerCreating        0               44m
sage                 pod/arc-registry-refresh-29335874-kfndp            0/1     Error                    0               58m
sage                 pod/arc-registry-refresh-29335875-6pl87            0/1     Error                    0               58m
sage                 pod/arc-registry-refresh-29335875-chsf2            0/1     Error                    0               71m
sage                 pod/arc-registry-refresh-29335875-cvkxj            0/1     ContainerCreating        0               44m
sage                 pod/arc-registry-refresh-29335876-22tn2            0/1     Error                    0               71m
sage                 pod/arc-registry-refresh-29335876-74g77            0/1     Error                    0               58m
sage                 pod/arc-registry-refresh-29335876-prd4r            0/1     ContainerCreating        0               44m
sage                 pod/arc-registry-refresh-29335877-klh5l            0/1     Error                    0               71m
sage                 pod/arc-registry-refresh-29335877-q8tvq            0/1     ContainerCreating        0               44m
sage                 pod/arc-registry-refresh-29335877-qgqkj            0/1     Error                    0               58m
sage                 pod/arc-registry-refresh-29335878-87gcc            0/1     Error                    0               58m
sage                 pod/arc-registry-refresh-29335878-rk8zz            0/1     Error                    0               71m
sage                 pod/arc-registry-refresh-29335878-vbs9v            0/1     ContainerCreating        0               44m
sage                 pod/arc-registry-refresh-29335879-dqbtb            0/1     ContainerCreating        0               44m
sage                 pod/arc-registry-refresh-29335879-f82v4            0/1     Error                    0               58m
sage                 pod/arc-registry-refresh-29335879-tfmc7            0/1     Error                    0               71m
sage                 pod/arc-registry-refresh-29335880-4pzmq            0/1     Error                    0               70m
sage                 pod/arc-registry-refresh-29335880-6jbm7            0/1     Error                    0               58m
sage                 pod/arc-registry-refresh-29335880-hpt4c            0/1     ContainerCreating        0               44m
sage                 pod/arc-registry-refresh-29335881-59psf            0/1     Error                    0               58m
sage                 pod/arc-registry-refresh-29335881-fvv48            0/1     ContainerCreating        0               44m
sage                 pod/arc-registry-refresh-29335881-lc4j2            0/1     Error                    0               70m
sage                 pod/arc-registry-refresh-29335882-ftjrz            0/1     Error                    0               70m
sage                 pod/arc-registry-refresh-29335882-hdskj            0/1     ContainerCreating        0               44m
sage                 pod/arc-registry-refresh-29335882-qlxlq            0/1     Error                    0               58m
sage                 pod/arc-registry-refresh-29335883-2px8r            0/1     Error                    0               70m
sage                 pod/arc-registry-refresh-29335883-b9pzm            0/1     Pending                  0               58m
sage                 pod/arc-registry-refresh-29335884-7qgfl            0/1     Error                    0               70m
sage                 pod/arc-registry-refresh-29335884-bhd9t            0/1     Error                    0               58m
sage                 pod/arc-registry-refresh-29335884-dggzf            0/1     ContainerCreating        0               44m
sage                 pod/arc-registry-refresh-29335885-bwh57            0/1     Error                    0               58m
sage                 pod/arc-registry-refresh-29335885-p9ggj            0/1     ContainerCreating        0               43m
sage                 pod/arc-registry-refresh-29335885-vwjb2            0/1     Error                    0               70m
sage                 pod/arc-registry-refresh-29335886-87sgm            0/1     Error                    0               58m
sage                 pod/arc-registry-refresh-29335886-gt488            0/1     ContainerCreating        0               44m
sage                 pod/arc-registry-refresh-29335886-vltgs            0/1     Error                    0               70m
sage                 pod/arc-registry-refresh-29335887-9vht2            0/1     Error                    0               58m
sage                 pod/arc-registry-refresh-29335887-d95dm            0/1     Error                    0               70m
sage                 pod/arc-registry-refresh-29335887-jmfmm            0/1     ContainerCreating        0               43m
sage                 pod/arc-registry-refresh-29335888-2mv84            0/1     Error                    0               58m
sage                 pod/arc-registry-refresh-29335888-7gqm9            0/1     ContainerCreating        0               44m
sage                 pod/arc-registry-refresh-29335888-l7r4m            0/1     Error                    0               70m
sage                 pod/arc-registry-refresh-29335889-g2dgx            0/1     ContainerCreating        0               44m
sage                 pod/arc-registry-refresh-29335889-nbtmd            0/1     Error                    0               57m
sage                 pod/arc-registry-refresh-29335889-vhml5            0/1     Error                    0               70m
sage                 pod/arc-registry-refresh-29335890-8sr4z            0/1     ContainerCreating        0               44m
sage                 pod/arc-registry-refresh-29335890-94wzh            0/1     Error                    0               58m
sage                 pod/arc-registry-refresh-29335890-zrz92            0/1     Error                    0               70m
sage                 pod/arc-registry-refresh-29335891-4bcjf            0/1     Error                    0               70m
sage                 pod/arc-registry-refresh-29335891-4slf6            0/1     ContainerCreating        0               44m
sage                 pod/arc-registry-refresh-29335891-l89st            0/1     Error                    0               58m
sage                 pod/arc-registry-refresh-29335892-7fngn            0/1     Error                    0               58m
sage                 pod/arc-registry-refresh-29335892-kfrg5            0/1     ContainerCreating        0               44m
sage                 pod/arc-registry-refresh-29335892-shbpw            0/1     Error                    0               70m
sage                 pod/arc-registry-refresh-29335893-4p588            0/1     Error                    0               70m
sage                 pod/arc-registry-refresh-29335893-sp7k2            0/1     Pending                  0               58m
sage                 pod/arc-registry-refresh-29335894-5xtdl            0/1     Pending                  0               58m
sage                 pod/arc-registry-refresh-29335894-n5gm7            0/1     Error                    0               70m
sage                 pod/arc-registry-refresh-29335895-2ghgn            0/1     ContainerCreating        0               44m
sage                 pod/arc-registry-refresh-29335895-58vd7            0/1     Error                    0               70m
sage                 pod/arc-registry-refresh-29335895-7fhj8            0/1     StartError               0               58m
sage                 pod/arc-registry-refresh-29335896-dj2zz            0/1     Error                    0               58m
sage                 pod/arc-registry-refresh-29335896-rxp82            0/1     ContainerCreating        0               43m
sage                 pod/arc-registry-refresh-29335896-tl77r            0/1     Error                    0               70m
sage                 pod/arc-registry-refresh-29335897-nhg5r            0/1     Error                    0               57m
sage                 pod/arc-registry-refresh-29335897-nqnsp            0/1     ContainerCreating        0               44m
sage                 pod/arc-registry-refresh-29335897-vdgtl            0/1     Error                    0               70m
sage                 pod/arc-registry-refresh-29335910-457rk            0/1     Error                    0               58m
sage                 pod/arc-registry-refresh-29335910-b95p6            0/1     ContainerCreating        0               43m
sage                 pod/arc-registry-refresh-29335910-dskxl            0/1     Error                    0               70m
sage                 pod/arc-registry-refresh-29335911-4cxk4            0/1     ContainerCreating        0               44m
