NAME                                   READY   STATUS                       RESTARTS   AGE     IP             NODE     NOMINATED NODE   READINESS GATES
pod/theta-dns-health-29362895-djssh    0/1     Pending                      0          4h19m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29362900-z5lxp    0/1     Pending                      0          4h19m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29362905-zqjkf    0/1     Pending                      0          4h19m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29362910-dwqxn    0/1     Pending                      0          4h20m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29362915-qpjbr    0/1     Pending                      0          4h20m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29362920-5trlc    0/1     Pending                      0          4m40s   <none>         <none>   <none>           <none>
pod/theta-dns-health-29362925-kn6xc    0/1     Pending                      0          4h17m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29362930-vlh6z    0/1     Pending                      0          4h19m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29362935-h6ndk    0/1     Pending                      0          4h20m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29362940-qh28w    0/1     Pending                      0          4h21m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29362945-h8nk5    0/1     Pending                      0          4h17m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29362950-rvtz5    0/1     Pending                      0          4h20m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29362955-zbrkt    0/1     Pending                      0          4h19m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29362960-k5js4    0/1     Pending                      0          4h19m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29362965-gjrl6    0/1     Pending                      0          4h20m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29362970-fzrzz    0/1     Pending                      0          4h18m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29362975-hzcg7    0/1     Pending                      0          4h17m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29362980-vcdrs    0/1     Pending                      0          4h20m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29362985-rtvqp    0/1     Pending                      0          4h20m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29362990-mtfj2    0/1     Pending                      0          4h19m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29362995-2bzx7    0/1     Pending                      0          4h19m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363000-6dp6j    0/1     Pending                      0          4h20m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363005-8wrkj    0/1     Pending                      0          4h20m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363010-zhj9h    0/1     Pending                      0          4h19m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363015-fcmwr    0/1     Pending                      0          4h19m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363020-g72x5    0/1     Pending                      0          4m39s   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363025-kr7rf    0/1     Pending                      0          4h20m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363030-l7nl9    0/1     Pending                      0          4h19m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363035-frp54    0/1     Pending                      0          4h18m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363040-tvbvw    0/1     Pending                      0          4h20m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363045-z8jqg    0/1     Pending                      0          4h20m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363050-gkt5k    0/1     Pending                      0          4h17m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363055-hgmqx    0/1     Pending                      0          4h19m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363060-bkf4l    0/1     Pending                      0          4h20m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363065-m4zkk    0/1     Pending                      0          4h19m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363070-2k6cd    0/1     Pending                      0          4h18m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363075-zkzk8    0/1     Pending                      0          4h19m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363080-xk7xt    0/1     Pending                      0          4h18m   <none>         <none>   <none>           <none>
