NAMESPACE            NAME                                                READY   STATUS                       RESTARTS           AGE     IP              NODE     NOMINATED NODE   READINESS GATES
arc-theta            theta-dns-health-29362490-pgg6m                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362495-mhdm9                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362500-mtcc2                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362505-xhpjs                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362510-jddgf                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362515-4xb48                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362520-sql52                     0/1     ContainerCreating            0                  4h21m   <none>          sage     <none>           <none>
arc-theta            theta-dns-health-29362525-7vwkl                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362530-6nfxt                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362535-fqqhw                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362540-gfx7c                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362545-c9hq9                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362550-4wv4c                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362555-fwffl                     0/1     Pending                      0                  4m40s   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362560-zsr84                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362565-s2hmz                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362570-kmjhf                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362575-2k4vj                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362580-m657m                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362585-lhtfc                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362590-kk52c                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362595-h7kb5                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362600-j7jzk                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362605-tgdht                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362610-zfjdc                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362615-6ckpp                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362620-kjwkc                     0/1     Pending                      0                  4m29s   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362625-qr8cz                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362630-ddnfm                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362635-9b99x                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362640-ph7tf                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362645-j6p2t                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362650-xb54z                     0/1     Pending                      0                  4m24s   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362655-zlwsl                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362660-4s6m9                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362665-9gg7r                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362670-vlcjr                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362675-z6zdt                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362680-qs55s                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362685-q92z6                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362690-2gnx5                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362695-nqg8r                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362700-dhfvp                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362705-88dv6                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362710-fwrgl                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362715-x494k                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362720-7gttk                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362725-xdwp7                     0/1     Pending                      0                  4m19s   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362730-jkvn6                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362735-rw7pr                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362740-r9q86                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362745-7r4w2                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362750-zms49                     0/1     ContainerCreating            0                  4h21m   <none>          sage     <none>           <none>
arc-theta            theta-dns-health-29362755-7xbdn                     0/1     CreateContainerConfigError   0                  4h21m   10.244.0.46     sage     <none>           <none>
arc-theta            theta-dns-health-29362760-n5xrc                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362765-cq6xs                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362770-m5q9d                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362775-xnxfj                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362780-994sm                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362785-mnh9q                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362790-k6w4r                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362795-xpvp5                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362800-wdwkq                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362805-7cxzz                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362810-cjxk6                     0/1     CreateContainerConfigError   0                  4h21m   10.244.0.164    sage     <none>           <none>
arc-theta            theta-dns-health-29362815-tjpml                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362820-s7b4w                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362825-tqdmp                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362830-hfzr9                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362835-s74k7                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362840-csx7z                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362845-lp8pc                     0/1     ContainerCreating            0                  4h20m   <none>          sage     <none>           <none>
arc-theta            theta-dns-health-29362850-d4tdt                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362855-mbjmj                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362860-xvwz6                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362865-sjdql                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362870-mf95z                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362875-hz59b                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362880-qbzgq                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362885-clqmg                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362890-4vtg7                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362895-djssh                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362900-z5lxp                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362905-zqjkf                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362910-dwqxn                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362915-qpjbr                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362920-5trlc                     0/1     Pending                      0                  4m18s   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362925-kn6xc                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362930-vlh6z                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362935-h6ndk                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362940-qh28w                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362945-h8nk5                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362950-rvtz5                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362955-zbrkt                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362960-k5js4                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362965-gjrl6                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362970-fzrzz                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362975-hzcg7                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362980-vcdrs                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362985-rtvqp                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362990-mtfj2                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29362995-2bzx7                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363000-6dp6j                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363005-8wrkj                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363010-zhj9h                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363015-fcmwr                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363020-g72x5                     0/1     Pending                      0                  4m17s   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363025-kr7rf                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363030-l7nl9                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363035-frp54                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363040-tvbvw                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363045-z8jqg                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363050-gkt5k                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363055-hgmqx                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363060-bkf4l                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363065-m4zkk                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363070-2k6cd                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363075-zkzk8                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363080-xk7xt                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363085-kjmfk                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363090-mh9tp                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363095-s88fc                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363100-8jw8b                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363105-4lkq5                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363110-5qpm2                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363115-s54mn                     0/1     CreateContainerConfigError   0                  4h21m   10.244.0.111    sage     <none>           <none>
arc-theta            theta-dns-health-29363120-twvtr                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363125-6xg7n                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363130-ks5hv                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363135-dr4jw                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363140-629wn                     0/1     Pending                      0                  4h20m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363145-zdlr9                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363150-sptvc                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363155-7pgb4                     0/1     Pending                      0                  4h18m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363160-qmbqd                     0/1     Pending                      0                  4h19m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363165-gfkql                     0/1     Pending                      0                  4h17m   <none>          <none>   <none>           <none>
arc-theta            theta-dns-health-29363170-rnj6b                     0/1     Pending                      0                  4m38s   <none>          <none>   <none>           <none>
